 ,Area,XM,YM
266,42,304.5,135.167
267,44,304.432,134.455
268,41,303.5,134.256
269,44,302.0,133.5
270,41,299.5,131.744
271,41,297.354,129.354
272,41,295.5,126.744
273,43,293.849,125.407
274,42,292.548,125.429
275,42,291.429,127.31
276,45,290.5,129.5
277,42,289.31,131.571
278,42,288.571,133.31
279,42,288.5,134.833
280,42,288.69,134.571
281,41,289.402,133.232
282,44,289.455,132.432
283,41,289.256,132.5
284,43,287.802,133.035
285,41,286.5,132.744
286,42,285.571,133.31
287,43,285.826,133.663
288,41,286.476,134.085
289,42,286.571,134.31
290,42,286.286,133.976
291,41,285.5,134.256
292,43,284.895,134.43
293,43,284.081,134.523
294,42,284.0,134.548
295,42,284.643,134.262
296,44,285.0,134.682
297,45,285.078,136.033
298,43,284.919,137.477
299,43,285.5,138.36
300,41,287.037,139.427
301,41,288.476,138.915
302,43,288.965,138.43
303,43,288.384,137.384
304,41,287.354,137.354
305,42,286.0,138.167
306,41,285.5,138.744
307,41,285.5,139.256
308,44,285.909,139.136
309,42,286.31,139.429
310,41,287.5,138.744
311,41,288.402,138.232
312,41,288.256,138.5
313,42,287.429,139.31
314,43,286.384,139.384
315,42,286.833,139.5
316,41,287.5,138.256
317,42,287.762,137.714
318,41,287.402,137.768
319,42,286.905,138.31
320,42,287.452,139.0
321,43,288.081,139.523
322,43,288.64,139.686
323,43,289.081,139.523
324,42,289.167,139.5
325,44,289.136,139.591
326,43,289.221,139.57
327,42,289.0,139.548
328,41,288.5,139.744
329,42,287.69,140.571
330,44,287.409,141.977
331,40,285.725,144.675
332,42,283.571,147.69
333,44,281.909,150.114
334,44,280.455,151.432
335,44,280.5,152.0
336,42,282.357,152.262
337,45,284.922,152.033
338,41,287.744,151.5
339,41,290.5,150.256
340,41,290.5,148.256
341,42,289.5,146.833
342,43,287.919,146.802
343,41,286.5,148.744
344,42,285.571,150.69
345,43,285.663,152.174
346,41,286.5,152.744
347,43,287.663,152.453
348,44,288.591,152.136
349,42,289.571,151.31
350,41,289.5,149.744
351,42,288.167,149.5
352,43,287.267,150.267
353,44,286.545,151.432
354,43,285.616,152.616
355,42,285.31,154.429
356,41,284.476,156.915
357,41,284.5,160.256
358,43,285.477,163.081
